en	zh	note
abstraction	抽象
acquisition planning	习得规划
act of identity	认同行为
actuation	起始
additive bilingualism	附加性双语现象
address term	称呼语/称谓
adjacency pair	邻接对
adstratum language	傍层语言
African-American Vernacular English (AAVE)	非洲裔美国人英语方言
age grade	年龄级差
age stratification	年龄分层
anecdotal sample	偶遇取样
anthropological linguistics	人类学语言学
apparent time	显像时间	又译「表观时间」
approach	路径/路向
appropriateness	得体性
assumption	假定
audience design	听众设计	Bell
axiom of categoricity	范畴性原理
axiom of variability	变异性原理
baby talk	稚语
bilingualism	双语现象
borrowing	借用
bundle of isoglosses	同言线束
category	范畴
chain shift	音链变化
change from above	意识变化	即「自上而下的变化」
change from below	未意识变化	即「自下而上的变化」
change in progress	进行中变化
cluster	聚合圈
code-switching	语码转换
code-mixing	语码混合
cognate words	同源词
cognition	认知
common language	共同语
communicative competence	交际能力
communicative density	交际密度
communicative event	交际事件
communicative situation	交际场景
communication accommodation theory (CAT)	交际顺应理论
community	群体/共同体
community of practice	实践共同体
concept	概念
constraint	制约
construct	构念
constructivism	建构论
context	语境
contextualization cue	语境化提示
continuum	连续体
convergence	趋同
conversation analysis (CA)	会话分析学
conversational analysis	会话分析
conversational implicature	会话含义
conversational inference	会话推断
conversational strategy/discourse strategy	会话策略
conversational structure	会话结构
conversational style	会话风格
cooperative principle (CP)	合作原则
corpus planning	本体规划
correlation	相关关系
covariance	共变性
covariation	共变
covert prestige	潜在声望/隐性声望
credibility	可靠性
creole	克里奥耳语
creolization	克里奥耳化
critical discourse analysis	批判性话语分析/批评话语分析
critical linguistics	批评语言学
crossover pattern	超越模式
cultural anthropology	文化人类学
cultural identity	文化认同
curvilinear pattern	弧线模式/曲线模式
decreolization	去克里奥耳化
deduction	演绎
deficit hypothesis	缺陷论
density	密度
dependent variable	依变项
dialect	方言
dialect atlas	方言地图集
dialect division	方言区划
dialect geography	方言地理学
dialect grouping	方言分区
dialect island	方言岛
dialect map	方言地图
dialectology	方言学
difference	差异/差别
diglossia	双言制
discourse analysis	话语分析
discourse marker	话语标记
disposition	性情倾向
dispreferred sequence	非合意序列
distinguishing feature	区别性特征
divergence	求异
diversity	多样性
domain	场域/领域
dominance	主导
dramaturgical theory	拟剧理论
dualism	二元论
dualization	二元化
dynamic	动态
elaborated code	复杂语码
elicitation technique	诱说法
embedded language	嵌入语言
embedding	嵌入
embedding sequence	内嵌序列
empirical discipline	经验性学科
